customer_id,name,email,region,signup_date
1,Misty,simsjessica@deleon.com,South,2024-12-01
2,Jasmine,morrisbeth@ortiz.biz,East,2024-11-12
3,Angela,robertsonvictor@yahoo.com,South,2024-07-16
4,Brandon,michaelflores@lawson.com,South,2023-10-10
5,Jessica,thawkins@estes.com,West,2024-04-13
6,Shaun,michaelsmith@harrison-fields.biz,North,2025-01-05
7,Lauren,andreaschwartz@lee.org,East,2024-09-18
8,Tom,jennifer21@gmail.com,North,2025-05-10
9,Jorge,fhiggins@yahoo.com,North,2025-06-08
10,Brittany,pbowman@hotmail.com,South,2024-03-18
11,Carol,emma81@long-martin.com,West,2024-08-20
12,Robert,mullenchristopher@booker.com,East,2024-01-15
13,Manuel,theresaanderson@ramos-mann.com,South,2025-05-18
14,Andrew,ymcmahon@gmail.com,South,2024-02-16
15,Hunter,kaitlynmaldonado@robertson.org,North,2023-11-18
16,Lisa,gwhitehead@yahoo.com,North,2024-07-18
17,Brittany,michael91@crawford.org,West,2025-05-05
18,Desiree,gross@gmail.com,West,2025-05-17
19,Tristan,johnsonhannah@gmail.com,East,2025-07-02
20,Robin,castillopaige@thompson.com,West,2024-12-04
21,Janet,qmason@brown.info,West,2025-07-09
22,Raven,blevinsgeorge@bryan.com,South,2025-01-26
23,Lisa,knighttaylor@clark.com,East,2023-08-22
24,Justin,zwheeler@gmail.com,East,2024-11-04
25,Maria,bdavid@gmail.com,South,2024-01-21
26,Brian,thall@hamilton.com,West,2024-10-10
27,Michael,jason37@yahoo.com,South,2023-10-09
28,Shannon,mjames@yahoo.com,East,2024-02-03
29,Frederick,curryroger@doyle.com,West,2023-09-25
30,Carlos,fisherchristina@george.org,North,2024-01-19
31,Debra,heatherrodriguez@hotmail.com,East,2024-03-22
32,Ronald,wileymatthew@sanders-jones.com,West,2024-03-10
33,Erin,lisarivera@yahoo.com,South,2023-09-28
34,Dakota,thompsonamanda@randall.com,North,2024-12-09
35,Edward,williamsana@yahoo.com,South,2024-05-28
36,Anne,traceykane@hotmail.com,North,2024-09-10
37,William,richardsondawn@gmail.com,West,2024-12-26
38,Jacqueline,foxashley@howard.com,East,2023-12-19
39,Jason,karl85@hotmail.com,West,2024-12-25
40,Nicholas,martinezerica@yahoo.com,West,2024-04-03
41,Derrick,charlesaguilar@hotmail.com,West,2024-11-09
42,David,wcarney@boyd.com,North,2025-03-02
43,Bradley,michellereilly@reed.com,West,2024-08-27
44,Melissa,ypeterson@esparza-clark.com,West,2025-01-29
45,Tammy,jacksontracey@hotmail.com,East,2023-07-27
46,Steven,nelsonshawn@davidson.org,North,2023-10-24
47,Katie,bklein@yahoo.com,West,2023-08-01
48,Deborah,fullerjohn@hill-phillips.biz,North,2024-09-09
49,David,tinamclaughlin@gmail.com,South,2025-01-04
50,Holly,cflores@harrell.com,North,2025-03-20
51,Ryan,iherrera@hotmail.com,East,2025-05-08
52,David,rosscatherine@gordon.org,North,2025-03-14
53,Kyle,greenekevin@welch.com,East,2024-07-31
54,Timothy,angela79@hotmail.com,North,2024-11-01
55,Melissa,brandon85@phillips.com,North,2024-05-20
56,Ethan,kchan@colon-wade.net,North,2024-03-29
57,Benjamin,thomasrobert@aguirre-wood.info,East,2024-01-20
58,Tyler,robertobarnes@hotmail.com,North,2025-04-09
59,Jennifer,thomashess@lambert.info,South,2023-08-30
60,Vanessa,hancockmolly@oconnor-carson.com,East,2023-08-31
61,Claudia,fwilliams@espinoza.info,West,2025-03-13
62,Brenda,hnorton@gmail.com,South,2023-07-25
63,Jason,melissa33@richardson-johnson.com,East,2024-06-15
64,Jonathan,ngilbert@hotmail.com,South,2025-04-05
65,Sarah,fchapman@hotmail.com,North,2024-08-13
66,Perry,tarayoung@williams.net,West,2023-10-23
67,James,cgilbert@gmail.com,East,2024-07-04
68,Calvin,shannon63@gmail.com,North,2024-06-26
69,Gabrielle,ahendrix@williams.info,North,2024-12-07
70,Jody,sdawson@yahoo.com,East,2025-06-08
71,Katie,umack@dunn.com,North,2023-12-28
72,William,fbaker@yahoo.com,East,2024-06-20
73,Cindy,brownlauren@griffin.com,South,2025-05-23
74,Natalie,lucas62@sandoval-perez.com,South,2024-05-27
75,Alison,haley23@hotmail.com,East,2025-05-17
76,Sabrina,sherri26@glenn.com,West,2024-11-14
77,Richard,grayjennifer@yahoo.com,North,2023-11-22
78,Deborah,bradleystephen@hotmail.com,East,2024-09-24
79,Alejandro,michael72@terry.com,East,2023-12-07
80,Katie,patricksims@yahoo.com,North,2023-11-13
81,Jacob,james08@woods-kaiser.net,East,2024-04-12
82,Daniel,ricky41@gmail.com,West,2024-02-06
83,Julie,freemandavid@yahoo.com,East,2024-09-27
84,Joshua,christopherschmidt@gmail.com,West,2023-12-07
85,Brittany,brittneyvalenzuela@tapia-davenport.info,North,2023-11-18
86,Linda,elara@yahoo.com,North,2024-06-28
87,Lori,joshuageorge@butler.com,West,2023-10-21
88,Jimmy,christine92@carter.info,North,2024-05-06
89,Tara,amyhenry@moreno.com,West,2024-10-06
90,Ryan,sarahmartinez@henry-butler.com,East,2024-02-20
91,Shannon,lgilbert@hotmail.com,West,2023-10-22
92,Taylor,judithsmith@hotmail.com,West,2023-10-10
93,Stephanie,xthomas@hotmail.com,West,2024-02-13
94,Brandi,christinemcgee@torres.biz,West,2023-08-20
95,Elizabeth,blackwellkenneth@yahoo.com,East,2024-06-16
96,Alicia,ggonzalez@donaldson.com,West,2024-11-25
97,Sean,moorebrittney@yahoo.com,East,2024-10-02
98,David,monica36@yahoo.com,South,2024-03-01
99,Jessica,april35@gmail.com,North,2023-11-22
100,David,bernardcourtney@day.com,North,2025-04-29
